user,boss,user_uid,boss_uid
semenovis,mazun,0,0
gordeev,mazun,1,1
rijey,mazun,2,2
amosov,gudkova,3,3
kaufmanma,gudkova,4,4
zemtseva,gudkova,5,5
astanovich,usovmv,6,6
pilipenko,usovmv,7,7
veselovaia,usovmv,8,8
neverov,usovmv,9,9
nevostruev,usovmv,10,10
podnebesnikov,palnikov,11,11
bruhanov,palnikov,12,12
kandinsky,palnikov,13,13
yakushkina,kalashnikovaia,14,14
antonuk,kalashnikovaia,15,15
likhno,kalashnikovaia,16,16
namazova,kalashnikovaia,17,17
sergeeva,kalashnikovaia,18,18
otletov,kalashnikovaia,19,19
misharin,bannikova,20,20
berezinaam,bannikova,21,21
grom,bannikova,22,22
gorovits,bannikova,23,23
evdokimov,ulitin,24,24
ageev.sa,ulitin,25,25
ostrouhova,ustjugov,26,26
aleksandrov,ustjugov,27,27
varavko,ustjugov,28,28
belozerovans,karabelskij,29,29
madera,karabelskij,30,30
gershovich,karabelskij,31,31
korjavin,chernovskaya,32,32
avg,chernovskaya,33,33
kuzminamv,pestova,34,34
solovevkv,pestova,35,35
kononov.av,solovyevvv,36,36
gordeevaa,solovyevvv,37,37
doronin,solovyevvv,38,38
hrusch,davidyants,39,39
sarskih,diduk,40,40
syuhina,kravtsova,41,41
eliseeva,kravtsova,42,42
churakova,kravtsova,43,43
taranov,basovskij,44,44
vladimirova,nemankin,45,45
svechnikov,nemankin,46,46
sofronova,nemankin,47,47
romanovama,dokukina,48,48
rytkova,dokukina,49,49
melikyan,dokukina,50,50
cherkasov,krendeleva,51,51
koskova,krendeleva,52,52
semenovay,stukalina,53,53
eshinimaev,stukalina,54,54
dodonovv,torgov,55,55
efimovalv,makusheva,56,56
kuchinamv,shaldybina,57,57
buzdalina,shaldybina,58,58
panovals,shaldybina,59,59
kovtun,shaldybina,60,60
vlasenkovai,shaldybina,61,61
fursova,ivanovakv,62,62
kenyukhova,ivanovakv,63,63
tepliashova,anisimov,64,64
trunovaea,anisimov,65,65
sivtsova,gura,66,66
skarzhevskiy,gura,67,67
kazakovaea,gura,68,68
grishanina,gura,69,69
zaitseva,gura,70,70
bryanev,bystrov,71,71
lunev,fatkullin,72,72
diptan,fatkullin,73,73
belozerov,fatkullin,74,74
golovkova,novikov,75,75
kutumova,novikov,76,76
kushakova,novikov,77,77
butina,novikov,78,78
krasnov,novikov,79,79
muravevadg,novikov,80,80
vetrova,novikov,81,81
falkovskaya,novikov,82,82
kozhemyakina,novikov,83,83
smirnovsa,novikov,84,84
ostashova,novikov,85,85
islentev,moldavsky,86,86
elagin,moldavsky,87,87
doronkin,medvedevgv,88,88
sivolobchik,medvedevgv,89,89
uljanova,medvedevgv,90,90
manzhosov,nelyubin,91,91
derbenevas,nelyubin,92,92
volkovga,nelyubin,93,93
mosyakin,nelyubin,94,94
andreenkoaa,nelyubin,95,95
makarovoa,nelyubin,96,96
efremov,nelyubin,97,97
shikhov,nelyubin,98,98
vergizova,gordeev,99,99
mikhaylov,neverov,100,100
serova,sergeeva,101,101
nechaev,sergeeva,102,102
prokofevav,belozerovans,103,103
smotrov.oi,korjavin,104,104
evstratyeva,koskova,105,105
pajzidin,doronkin,106,106
nelyubin,bryanev,107,107
barcheva,grishanina,108,108
tsurkan,grishanina,109,109
sohranjaeva,grishanina,110,110
hayrulina,skarzhevskiy,111,111
fedorovaiv,kazakovaea,112,112
kobelevsm,elagin,113,113
mindich,elagin,114,114
gorbunovasl,kozhemyakina,115,115
anikinaav,kozhemyakina,116,116
slavkina,kozhemyakina,117,117
popkova,kushakova,118,118
dmitrievanan,diptan,119,119
musin,diptan,120,120
kornev,diptan,121,121
butselan,diptan,122,122
smirnovamn,paykin,123,123
shilnikova,paykin,124,124
timakov,tsarev,125500294,203411538
